first_name,second_name,assists,bonus,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,form,goals_conceded,goals_scored,ict_index,idx,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,red_cards,saves,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,points_per_game
Tyrone,Mings,0,0,100,75,149484,-1,1,-2,2,1.9,0,2,-0.2,0.2,1,0.8,6,0,6.8,39,False,66.2,270,,2022-08-28T19:00:06.061717Z,43,0,0,0,149484.jpg,0,0,3.3,False,,a,2,7,0.0,4,43567,1576,333803,18077,0.2,0.9,Mings,0,1.3
Ollie,Watkins,2,3,,,178301,0,0,-1,1,46.4,1,4,3.4,3.9,2,4.4,8,1,23.6,40,False,89.6,384,,,74,0,0,0,178301.jpg,0,0,3.0,False,,a,2,7,99.0,22,193684,2546,298741,33298,0.6,3.0,Watkins,0,4.4
Marvelous,Nakamba,0,0,,,184704,0,0,-1,1,0.0,0,3,-1.0,-0.5,0,0.0,0,0,0.0,41,False,0.0,0,,,44,0,0,0,184704.jpg,0,0,0.2,False,,a,2,7,0.0,0,9747,1357,12895,866,0.0,0.0,Nakamba,0,0.0
Emiliano,Buendía Stati,0,2,,,195546,-1,1,-1,1,74.5,0,3,1.8,2.3,2,2.8,7,1,23.9,42,False,70.2,243,,,59,0,0,0,195546.jpg,0,0,0.5,False,,a,2,7,93.0,14,40392,760,53254,2717,0.5,2.4,Buendía,0,2.8
Matty,Cash,0,0,100,100,199796,0,0,-2,2,64.2,0,2,0.2,0.7,1,1.2,9,0,15.8,43,False,70.4,450,,2022-08-13T15:30:06.456188Z,48,0,0,0,199796.jpg,0,0,7.3,False,,a,2,7,23.0,6,78456,5205,1060168,27152,0.3,1.2,Cash,1,1.2
Ezri,Konsa Ngoyo,0,0,100,100,199798,0,0,-1,1,3.2,0,2,0.0,0.5,0,1.0,8,0,7.8,44,False,70.8,361,,2022-07-05T15:30:04.118376Z,44,0,0,0,199798.jpg,0,0,0.2,False,,a,2,7,4.0,5,7159,322,15309,766,0.2,1.1,Konsa,1,1.0
Leon,Bailey,1,0,,,215711,0,0,-3,3,72.6,0,3,1.2,1.7,2,2.2,7,0,17.3,45,False,45.8,269,,,47,0,0,0,215711.jpg,0,0,6.3,False,,a,2,7,53.0,11,185217,7058,1109439,33040,0.5,2.3,Bailey,0,2.2
Douglas Luiz,Soares de Paulo,0,1,,,230046,0,0,-2,2,30.5,0,3,1.2,1.7,7,2.2,1,1,9.0,46,False,44.4,107,,,48,0,0,0,230046.jpg,0,0,0.4,False,,a,2,7,15.0,11,9055,2610,39761,1150,0.5,2.3,Douglas Luiz,1,2.8
Jacob,Ramsey,0,0,,,232653,-1,1,-3,3,88.8,0,3,0.2,0.7,1,1.2,8,0,16.9,47,False,57.4,339,,,52,0,0,0,232653.jpg,0,0,0.9,False,,a,2,7,23.0,6,17177,659,114588,4431,0.2,1.2,Ramsey,2,1.2
Tim,Iroegbunam,0,0,,,490094,0,0,0,0,0.0,0,3,-1.0,-0.5,0,0.0,0,0,0.0,49,False,0.0,0,,,45,0,0,0,490094.jpg,0,0,0.0,False,,a,2,7,0.0,0,1244,82,2043,106,0.0,0.0,Iroegbunam,0,0.0
Diego Carlos,Santos Silva,0,0,0,0,165659,0,0,-2,2,2.8,0,2,0.0,0.0,0,0.6,3,0,5.8,50,False,23.0,180,Achilles injury - Unknown return date,2022-08-13T15:30:06.470124Z,48,0,0,0,165659.jpg,0,0,0.3,False,,i,2,7,32.0,3,5518,35,85708,1519,0.1,0.6,Diego Carlos,0,1.5
Anwar,El Ghazi,0,0,,,193488,0,0,-2,2,0.0,0,3,-1.0,-0.5,0,0.0,0,0,0.0,51,False,0.0,0,,,48,0,0,0,193488.jpg,0,0,0.1,False,,a,2,7,0.0,0,2507,153,8856,395,0.0,0.0,El Ghazi,0,0.0
Keinan,Davis,0,0,0,0,221239,0,0,-1,1,0.0,0,4,0.0,0.0,0,0.0,0,0,0.0,52,False,0.0,0,Joined Watford on loan - Expected back 01 Jul,2022-08-05T11:30:05.744996Z,54,0,0,0,221239.jpg,0,0,0.1,False,,u,2,7,0.0,0,586,0,11899,257,0.0,0.0,Davis,0,0.0
Boubacar,Kamara,0,0,,,226944,-1,1,-1,1,31.9,0,3,0.8,1.3,2,1.8,9,0,11.7,53,False,79.8,433,,,49,0,0,0,226944.jpg,0,0,0.2,False,,a,2,7,5.0,9,8316,472,12212,699,0.4,1.8,Kamara,1,1.8
Cameron,Archer,0,0,100,75,433979,-1,1,-1,1,1.5,0,4,-0.6,-0.1,0,0.4,0,0,0.3,54,False,0.2,9,,2022-08-30T12:30:06.507496Z,44,0,0,0,433979.jpg,0,0,5.5,False,,a,2,7,2.0,2,115529,2244,276154,34974,0.1,0.5,Archer,0,1.0
