first_name,second_name,assists,bonus,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,form,goals_conceded,goals_scored,ict_index,idx,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,red_cards,saves,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,points_per_game
Mads,Roerslev Rasmussen,0,0,100,100,226956,0,0,-1,1,1.5,0,2,1.7,1.2,0,1.2,0,0,2.1,90,False,19.4,90,,2022-08-24T16:30:05.907130Z,44,0,0,0,226956.jpg,0,0,0.1,False,,a,4,94,0.0,6,1054,105,2424,168,0.3,1.4,Roerslev,0,6.0
Mads,Bech Sørensen,0,0,,,228044,0,0,0,0,0.2,0,2,1.1,0.6,0,0.6,0,0,0.2,91,False,2.6,17,,,45,0,0,0,228044.jpg,0,0,0.1,False,,a,4,94,0.0,3,1704,101,3180,246,0.1,0.7,Bech,0,1.0
Ethan,Pinnock,0,0,0,0,231065,0,0,-1,1,0.0,0,2,0.0,0.0,0,0.0,0,0,0.0,92,False,0.0,0,Knee injury - Unknown return date,2022-07-22T23:00:04.442209Z,44,0,0,0,231065.jpg,0,0,0.0,False,,i,4,94,0.0,0,94,5,1569,52,0.0,0.0,Pinnock,0,0.0
Frank,Onyeka,0,0,,,428580,0,0,-1,1,12.0,0,3,0.9,0.4,1,0.4,0,0,2.0,93,False,5.2,32,,,49,0,0,0,428580.jpg,0,0,0.0,False,,a,4,94,2.0,2,1211,72,2432,152,0.1,0.4,Onyeka,0,1.0
Shandon,Baptiste,0,0,,,432160,0,0,0,0,18.7,0,3,1.7,1.2,2,1.2,2,0,5.9,94,False,20.2,138,,,45,0,0,0,432160.jpg,0,0,0.3,False,,a,4,94,20.0,6,15920,1361,17414,1140,0.3,1.3,Baptiste,0,1.2
Bryan,Mbeumo,0,0,,,446008,0,0,0,0,82.2,0,4,3.3,2.8,2,2.8,7,1,27.8,95,False,58.6,396,,,60,0,0,0,446008.jpg,0,0,2.4,False,,a,4,94,138.0,14,185836,3972,203977,24869,0.5,2.3,Mbeumo,0,2.8
Charlie,Goode,0,0,,,213687,0,0,0,0,0.0,0,2,0.5,0.0,0,0.0,0,0,0.0,96,False,0.0,0,,,40,0,0,0,213687.jpg,0,0,0.6,False,,a,4,94,0.0,0,13323,486,24020,1591,0.0,0.0,Goode,0,0.0
Marcus,Forss,0,0,0,0,216620,0,0,0,0,0.0,0,4,0.0,0.0,0,0.0,0,0,0.0,97,False,0.0,0,Transferred to Middlesbrough,2022-07-28T16:30:04.354162Z,45,0,0,0,216620.jpg,0,0,0.1,False,,u,4,94,0.0,0,0,0,8454,537,0.0,0.0,Forss,0,0.0
Dominic,Thompson,0,0,0,0,232247,0,0,0,0,0.0,0,2,0.0,0.0,0,0.0,0,0,0.0,98,False,0.0,0,Transferred to Blackpool,2022-07-25T23:00:04.235293Z,40,0,0,0,232247.jpg,0,0,0.0,False,,u,4,94,0.0,0,0,0,1946,66,0.0,0.0,Thompson,0,0.0
Mads,Bidstrup,0,0,0,0,481405,0,0,0,0,0.0,0,3,0.0,0.0,0,0.0,0,0,0.0,99,False,0.0,0,Season-long loan to FC Nordsjælland,2022-07-15T15:58:39.010980Z,45,0,0,0,481405.jpg,0,0,0.0,False,,u,4,94,0.0,0,0,0,99,8,0.0,0.0,Bidstrup,0,0.0
Ellery,Balcombe,0,0,0,0,235448,0,0,0,0,0.0,0,1,0.0,0.0,0,0.0,0,0,0.0,100,False,0.0,0,Joined Crawley Town on loan - Expected back 01 Jul,2022-07-31T21:00:04.294454Z,40,0,0,0,235448.jpg,0,0,0.1,False,,u,4,94,0.0,0,0,0,4679,181,0.0,0.0,Balcombe,0,0.0
Aaron,Hickey,0,0,,,472713,0,0,0,0,20.0,0,2,2.3,1.8,1,1.8,6,0,10.7,510,False,48.0,389,,,50,0,0,0,472713.jpg,0,0,0.4,False,,a,4,94,39.0,9,21781,1419,21503,1713,0.4,1.8,Hickey,2,1.8
Keane,Lewis-Potter,1,0,100,100,249231,0,0,-2,2,43.7,0,3,2.1,1.6,2,1.6,2,0,11.6,515,False,29.2,150,,2022-08-24T16:30:06.311957Z,53,0,0,0,249231.jpg,0,0,0.1,False,,a,4,94,44.0,8,1623,161,5850,256,0.3,1.5,Lewis-Potter,0,2.0
Thomas,Strakosha,0,0,,,140200,0,0,-1,1,0.0,0,1,0.5,0.0,0,0.0,0,0,0.0,517,False,0.0,0,,,44,0,0,0,140200.jpg,0,0,0.2,False,,a,4,94,0.0,0,2165,197,7896,434,0.0,0.0,Strakosha,0,0.0
Ben,Mee,0,2,,,51927,0,0,1,-1,5.6,1,2,4.1,3.6,2,3.6,7,1,15.6,526,False,86.8,418,,,46,0,0,0,51927.jpg,0,0,3.3,False,,a,4,94,63.0,18,379003,8149,170854,10754,0.8,3.9,Mee,1,3.6
Fin,Stevens,0,0,,,450550,0,0,0,0,0.0,0,2,0.5,0.0,0,0.0,0,0,0.0,540,False,0.0,0,,,40,0,0,0,450550.jpg,0,0,0.3,False,,a,4,94,0.0,0,11316,399,11945,884,0.0,0.0,Stevens,0,0.0
Halil,Dervişoğlu,1,0,,,434662,0,0,0,0,0.0,0,4,1.3,0.8,0,0.8,0,0,1.0,541,False,0.0,6,,,45,0,0,0,434662.jpg,0,0,2.3,False,,a,4,94,10.0,4,269545,3228,165055,18584,0.2,0.9,Dervişoğlu,0,4.0
Mikkel,Damsgaard,0,0,,,440089,0,0,-1,1,16.6,0,3,1.0,0.5,1,0.5,0,0,2.4,580,False,3.4,34,,,54,0,0,0,440089.jpg,0,0,0.1,False,,a,4,94,4.0,2,17434,309,12300,785,0.1,0.4,Damsgaard,0,1.0
Mathias,Jorgensen,0,0,,,48760,0,0,0,0,12.7,0,2,2.5,2.0,2,2.0,2,0,6.5,595,False,39.2,157,,,40,0,0,0,48760.jpg,0,0,0.4,False,,a,4,94,13.0,4,36478,14226,5342,1981,0.5,1.0,Zanka,0,2.0
Adam,Lallana,0,0,0,0,39155,0,0,0,0,56.0,0,3,0.0,0.0,0,1.6,1,0,12.6,101,False,27.2,201,Calf injury - Expected back 01 Oct,2022-08-27T20:00:06.417767Z,50,0,0,0,39155.jpg,0,0,0.1,False,,i,5,36,42.0,8,15092,17,20024,1885,0.3,1.6,Lallana,0,2.7
Jason,Steele,0,0,,,49262,0,0,0,0,0.0,0,1,0.0,0.5,0,0.0,0,0,0.0,102,False,0.0,0,,,40,0,0,0,49262.jpg,0,0,0.9,False,,a,5,36,0.0,0,13707,708,17209,1177,0.0,0.0,Steele,0,0.0
Danny,Welbeck,2,2,,,50175,0,0,0,0,102.2,0,4,3.4,3.9,1,3.4,1,0,26.2,103,False,39.6,384,,,65,0,0,0,50175.jpg,0,0,1.6,False,,a,5,36,120.0,17,184506,2590,119469,18284,0.5,2.6,Welbeck,0,3.4
Pascal,Groß,1,6,,,60307,1,-1,4,-4,136.8,2,3,7.4,7.9,2,7.4,3,3,44.9,104,True,175.8,450,,,59,0,0,0,60307.jpg,0,0,19.4,False,,a,5,36,136.0,37,1916148,245045,295022,34000,1.3,6.3,Groß,0,7.4
Lewis,Dunk,0,2,,,83299,0,0,1,-1,12.3,0,2,4.2,4.7,-1,4.2,3,0,8.8,106,False,66.2,450,,,46,1,0,0,83299.jpg,0,0,5.6,False,,a,5,36,10.0,21,431331,26861,100522,18150,0.9,4.6,Dunk,0,4.2
Solly,March,1,0,,,109345,0,0,0,0,62.4,0,3,3.0,3.5,2,3.0,3,0,25.4,107,False,58.8,407,,,50,0,0,0,109345.jpg,0,0,0.4,False,,a,5,36,133.0,15,53718,2597,29000,2131,0.6,3.0,March,1,3.0
Adam,Webster,0,0,,,110735,0,0,0,0,7.2,0,2,4.0,4.5,1,4.0,3,0,11.4,108,False,66.8,450,,,45,0,0,0,110735.jpg,0,0,0.7,False,,a,5,36,39.0,20,58634,11915,14409,3097,0.9,4.4,Webster,1,4.0
Joël,Veltman,0,4,100,75,111478,0,0,1,-1,11.0,2,2,5.0,4.1,1,5.0,3,0,12.0,109,False,86.8,402,,2022-08-29T13:30:06.222939Z,46,0,0,0,111478.jpg,0,0,4.3,False,,a,5,36,22.0,25,439803,74389,109494,12559,1.1,5.4,Veltman,0,5.0
Leandro,Trossard,1,0,,,116216,0,0,0,0,109.0,0,3,4.0,4.5,2,4.0,3,1,37.4,111,False,75.8,406,,,65,0,0,0,116216.jpg,0,0,2.8,False,,a,5,36,189.0,20,168951,16380,117011,10592,0.6,3.1,Trossard,1,4.0
Robert,Sánchez,0,4,,,215059,1,-1,2,-2,0.0,0,1,5.4,5.9,1,5.4,3,0,10.3,113,False,102.6,450,,,47,0,0,0,215059.jpg,0,13,17.4,False,,a,5,36,0.0,27,848412,60423,220012,19792,1.1,5.7,Sánchez,0,5.4
Tariq,Lamptey,0,0,,,232792,0,0,-1,1,16.5,0,2,0.8,1.3,1,0.8,0,0,3.6,114,False,15.2,76,,,44,0,0,0,232792.jpg,0,0,1.7,False,,a,5,36,4.0,4,29213,1270,108457,5497,0.2,0.9,Lamptey,0,1.0
Steven,Alzate,0,0,,,235382,0,0,0,0,0.0,0,3,0.0,0.5,0,0.0,0,0,0.0,115,False,0.0,0,,,45,0,0,0,235382.jpg,0,0,0.2,False,,a,5,36,0.0,0,7933,400,12283,777,0.0,0.0,Alzate,0,0.0
Alexis,Mac Allister,0,6,,,243016,0,0,0,0,26.3,1,3,5.0,5.5,10,5.0,3,2,18.9,116,False,116.0,450,,,55,1,0,0,243016.jpg,0,0,0.8,False,,a,5,36,46.0,25,66095,34485,19544,3052,0.9,4.5,Mac Allister,2,5.0
Jakub,Moder,0,0,0,0,243505,-1,1,-1,1,0.0,0,3,0.0,0.0,0,0.0,0,0,0.0,117,False,0.0,0,Knee injury - Unknown return date,2022-07-05T15:30:04.143244Z,44,0,0,0,243505.jpg,0,0,0.0,False,,i,5,36,0.0,0,454,60,1922,96,0.0,0.0,Moder,0,0.0
Enock,Mwepu,0,0,,,423649,0,0,-2,2,24.7,0,3,1.2,1.7,2,1.2,2,0,5.8,118,False,23.4,126,,,53,0,0,0,423649.jpg,0,0,0.1,False,,a,5,36,10.0,6,2790,226,8057,365,0.2,1.1,Mwepu,0,1.2
Jeremy,Sarmiento Morante,0,0,0,0,441192,0,0,0,0,0.0,0,3,0.0,0.0,0,0.0,0,0,0.0,119,False,0.0,0,Knock - Unknown return date,2022-08-22T08:30:05.866819Z,45,0,0,0,441192.jpg,0,0,0.1,False,,i,5,36,0.0,0,2533,20,5793,283,0.0,0.0,Sarmiento,0,0.0
Moisés,Caicedo Corozo,0,0,,,486672,0,0,0,0,73.9,0,3,2.6,3.1,2,2.6,3,0,16.2,120,False,62.6,438,,,50,0,0,0,486672.jpg,0,0,0.3,False,,a,5,36,25.0,13,23709,1169,12974,1113,0.5,2.6,Caicedo,0,2.6
Taylor,Richards,0,0,0,0,209045,0,0,0,0,0.0,0,3,0.0,0.0,0,0.0,0,0,0.0,121,False,0.0,0,Joined QPR on loan - Expected back 01 Jul,2022-07-22T22:30:04.788277Z,45,0,0,0,209045.jpg,0,0,0.0,False,,u,5,36,0.0,0,0,0,361,12,0.0,0.0,Richards,0,0.0
Haydon,Roberts,0,0,0,0,433589,0,0,0,0,0.0,0,2,0.0,0.0,0,0.0,0,0,0.0,122,False,0.0,0,Joined Derby County on loan - Expected back 01 Jul,2022-07-09T22:00:04.021716Z,40,0,0,0,433589.jpg,0,0,0.0,False,,u,5,36,0.0,0,0,0,356,16,0.0,0.0,Roberts,0,0.0
Deniz,Undav,0,0,,,450434,-1,1,-3,3,0.3,0,4,0.4,0.9,1,0.4,0,0,0.4,123,False,0.0,12,,,52,0,0,0,450434.jpg,0,0,0.4,False,,a,5,36,4.0,2,10760,650,50455,3245,0.1,0.4,Undav,0,1.0
Kaoru,Mitoma,0,0,,,451340,0,0,0,0,25.6,0,3,0.8,1.3,1,0.8,0,0,5.0,124,False,17.2,54,,,50,0,0,0,451340.jpg,0,0,0.0,False,,a,5,36,8.0,4,2865,63,3747,237,0.2,0.8,Mitoma,0,1.0
Julio,Enciso,0,0,,,474120,0,0,-1,1,0.0,0,4,0.0,0.5,0,0.0,0,0,0.0,125,False,0.0,0,,,49,0,0,0,474120.jpg,0,0,0.3,False,,a,5,36,0.0,0,10579,505,26794,1920,0.0,0.0,Enciso,0,0.0
Kacper,Kozłowski,0,0,0,0,484658,0,0,0,0,0.0,0,3,0.0,0.0,0,0.0,0,0,0.0,126,False,0.0,0,Season-long loan to Vitesse Arnhem,2022-08-26T07:25:55.973718Z,45,0,0,0,484658.jpg,0,0,0.0,False,,u,5,36,0.0,0,1670,0,5345,345,0.0,0.0,Kozłowski,0,0.0
Kjell,Scherpen,0,0,0,0,240514,0,0,0,0,0.0,0,1,0.0,0.0,0,0.0,0,0,0.0,542,False,0.0,0,Season-long loan to Vitesse Arnhem,2022-08-17T10:33:33.723103Z,40,0,0,0,240514.jpg,0,0,0.1,False,,u,5,36,0.0,0,1447,0,3969,212,0.0,0.0,Scherpen,0,0.0
Matt,Clarke,0,0,0,0,178173,0,0,0,0,0.0,0,2,0.0,0.0,0,0.0,0,0,0.0,543,False,0.0,0,Transferred to Middlesbrough,2022-08-26T07:23:35.673658Z,40,0,0,0,178173.jpg,0,0,0.2,False,,u,5,36,0.0,0,10007,0,16249,1128,0.0,0.0,Clarke,0,0.0
Jan Paul,van Hecke,0,0,,,469142,0,0,0,0,0.0,0,2,0.2,0.7,0,0.2,0,0,0.0,544,False,0.2,2,,,40,0,0,0,469142.jpg,0,0,0.3,False,,a,5,36,0.0,1,16893,725,12679,1096,0.0,0.2,Van Hecke,0,1.0
Levi,Colwill,0,0,,,460028,0,0,0,0,0.4,0,2,0.4,0.9,0,0.4,0,0,0.5,559,False,4.6,12,,,45,0,0,0,460028.jpg,0,0,0.1,False,,a,5,36,0.0,2,3047,147,3646,339,0.1,0.4,Colwill,0,1.0
Pervis,Estupiñán,1,1,,,204214,0,0,0,0,68.4,0,2,3.7,4.2,4,3.7,2,0,11.4,586,False,30.2,167,,,45,0,0,0,204214.jpg,0,0,0.5,False,,a,5,36,15.0,11,48878,10955,5470,1532,0.8,2.4,Estupiñán,1,3.7
Evan,Ferguson,0,0,,,487117,0,0,0,0,0.0,0,4,0.0,0.5,0,0.0,0,0,0.0,596,False,0.0,0,,,45,0,0,0,487117.jpg,0,0,0.1,False,,a,5,36,0.0,0,5671,1481,1417,730,0.0,0.0,Ferguson,0,0.0
Carney,Chukwuemeka,0,0,,,478912,0,0,-1,1,0.0,0,3,0.5,0.5,0,0.0,0,0,0.0,48,False,0.0,0,,,44,0,0,0,478912.jpg,0,0,0.5,False,,a,6,8,0.0,0,24240,897,38809,2298,0.0,0.0,Chukwuemeka,0,0.0
Marc,Cucurella Saseta,2,0,,,179268,1,-1,2,-2,106.6,0,2,2.7,2.7,1,2.2,8,0,23.1,112,False,89.0,375,,,52,0,0,0,179268.jpg,0,0,13.8,False,,a,6,8,36.0,11,926401,61500,444495,42447,0.4,2.1,Cucurella,1,2.2
César,Azpilicueta,0,1,,,41328,0,0,0,0,40.9,0,2,2.7,2.7,1,2.2,4,0,9.4,127,False,50.8,221,,,50,0,0,0,41328.jpg,0,0,1.7,False,,a,6,8,2.0,11,83545,4361,111638,7142,0.4,2.2,Azpilicueta,0,2.2
Thiago,Emiliano da Silva,0,0,,,51090,0,0,0,0,17.9,0,2,2.7,2.7,1,2.2,8,0,18.5,128,False,135.0,450,,,55,0,0,0,51090.jpg,0,0,5.8,False,,a,6,8,32.0,11,108612,9092,201483,18526,0.4,2.0,Thiago Silva,0,2.2
Marcos,Alonso,0,0,100,100,82263,0,0,-2,2,0.0,0,2,0.5,0.5,0,0.0,0,0,0.0,129,False,0.0,0,,2022-08-12T12:30:05.400448Z,53,0,0,0,82263.jpg,0,0,1.2,False,,a,6,8,0.0,0,8056,1453,208787,2868,0.0,0.0,Alonso,0,0.0
Jorge Luiz,Frello Filho,0,3,,,85955,0,0,0,0,51.7,1,3,4.3,4.3,2,3.8,6,1,16.0,130,False,80.8,365,,,60,0,0,0,85955.jpg,0,0,3.6,False,,a,6,8,27.0,19,302477,7408,276254,20134,0.6,3.2,Jorginho,0,3.8
Ross,Barkley,0,0,,,88894,0,0,-1,1,0.0,0,3,0.5,0.5,0,0.0,0,0,0.0,131,False,0.0,0,,,49,0,0,0,88894.jpg,0,0,0.1,False,,a,6,8,0.0,0,1793,114,4176,252,0.0,0.0,Barkley,0,0.0
Mateo,Kovacic,0,0,100,100,91651,0,0,-1,1,13.5,0,3,0.9,0.9,1,0.4,0,0,4.0,132,False,18.6,60,,2022-08-12T12:30:05.410427Z,49,0,0,0,91651.jpg,0,0,0.3,False,,a,6,8,8.0,2,11816,1787,60546,1255,0.1,0.4,Kovacic,0,1.0
Kepa,Arrizabalaga,0,0,,,109745,0,0,-1,1,0.0,0,1,0.5,0.5,0,0.0,0,0,0.0,133,False,0.0,0,,,44,0,0,0,109745.jpg,0,0,0.2,False,,a,6,8,0.0,0,3162,222,9023,545,0.0,0.0,Arrizabalaga,0,0.0
N'Golo,Kanté,0,0,0,0,116594,0,0,-1,1,48.7,0,3,0.0,0.0,0,1.0,1,0,10.8,134,False,36.4,174,Hamstring injury - Expected back 01 Oct,2022-08-14T23:30:06.470224Z,49,0,0,0,116594.jpg,0,0,1.7,False,,i,6,8,23.0,5,79835,528,324851,10542,0.2,1.0,Kanté,0,2.5
Hakim,Ziyech,0,0,,,124183,0,0,-3,3,35.0,0,3,1.1,1.1,2,0.6,3,0,7.6,135,False,19.2,116,,,57,0,0,0,124183.jpg,0,0,0.3,False,,a,6,8,22.0,3,11969,1849,38303,1627,0.1,0.5,Ziyech,0,1.5
Ruben,Loftus-Cheek,0,0,75,,126187,0,0,0,0,41.9,0,3,1.6,2.1,1,1.6,8,0,20.3,136,False,73.2,340,Knock - 75% chance of playing,2022-08-30T22:30:06.365447Z,50,0,0,0,126187.jpg,0,0,0.2,False,,d,6,8,87.0,8,19777,264,14234,2628,0.3,1.6,Loftus-Cheek,0,1.6
Timo,Werner,0,0,0,0,165153,0,0,-1,1,0.0,0,4,0.0,0.0,0,0.0,0,0,0.0,137,False,0.0,0,Transferred to RB Leipzig,2022-08-10T10:27:43.622232Z,79,0,0,0,165153.jpg,0,0,0.2,False,,u,6,8,0.0,0,2202,0,49716,535,0.0,0.0,Werner,0,0.0
Robert Kenedy,Nunes do Nascimento,0,0,,,167767,0,0,-1,1,0.0,0,2,0.5,0.5,0,0.0,0,0,0.0,138,False,0.0,0,,,39,0,0,0,167767.jpg,0,0,0.5,False,,a,6,8,0.0,0,22159,6852,18745,2088,0.0,0.0,Kenedy,0,0.0
Ben,Chilwell,1,0,,,172850,0,0,-2,2,7.8,0,2,2.9,2.9,1,2.4,0,0,3.2,139,False,18.0,101,,,58,0,0,0,172850.jpg,0,0,2.5,False,,a,6,8,6.0,12,102791,4489,274817,12068,0.4,2.1,Chilwell,0,3.0
Christian,Pulisic,0,0,100,100,176413,0,0,-2,2,2.8,0,3,1.3,1.3,0,0.8,2,0,1.4,140,False,4.4,96,,2022-08-19T13:30:06.111243Z,58,0,0,0,176413.jpg,0,0,0.5,False,,a,6,8,6.0,4,14010,1156,51310,2408,0.1,0.7,Pulisic,1,0.8
Trevoh,Chalobah,0,0,75,,180736,0,0,-2,2,0.5,0,2,0.7,0.9,0,0.4,1,0,1.6,141,False,15.4,90,Knock - 75% chance of playing,2022-08-31T08:30:06.535126Z,48,0,0,0,180736.jpg,0,0,0.4,False,,d,6,8,0.0,2,6104,190,35406,2844,0.1,0.4,Chalobah,0,2.0
Mason,Mount,1,0,,,184341,0,0,-3,3,122.4,0,3,3.1,3.1,5,2.6,7,0,35.3,142,False,79.0,365,,,77,0,0,0,184341.jpg,0,0,4.5,False,,a,6,8,150.0,13,125267,5181,604107,19961,0.3,1.7,Mount,0,2.6
Malang,Sarr,0,0,0,0,204727,0,0,0,0,0.0,0,2,0.0,0.0,0,0.0,0,0,0.0,143,False,0.0,0,Season-long loan to Monaco,2022-08-12T14:18:58.649483Z,50,0,0,0,204727.jpg,0,0,0.0,False,,u,6,8,0.0,0,289,0,10518,188,0.0,0.0,Sarr,0,0.0
Callum,Hudson-Odoi,0,0,0,,209046,0,0,-2,2,0.0,0,3,0.0,0.5,0,0.0,0,0,0.0,144,False,0.0,0,Season-long loan to Bayer Leverkusen,2022-08-31T07:22:31.364700Z,53,0,0,0,209046.jpg,0,0,0.1,False,,u,6,8,0.0,0,1884,33,7522,855,0.0,0.0,Hudson-Odoi,0,0.0
Kai,Havertz,0,0,,,219847,0,0,-2,2,39.5,0,4,2.1,2.1,2,1.6,7,0,19.4,145,False,32.4,408,,,78,0,0,0,219847.jpg,0,0,2.7,False,,a,6,8,121.0,8,147602,2304,342247,26305,0.2,1.0,Havertz,2,1.6
Reece,James,1,5,75,50,225796,0,0,1,-1,118.4,0,2,3.7,2.5,0,4.4,6,1,30.5,146,False,119.4,360,Illness - 75% chance of playing,2022-08-30T16:30:06.549059Z,61,0,0,0,225796.jpg,0,0,39.3,False,,d,6,8,67.0,22,1152538,19431,1137794,335446,0.7,3.6,James,2,5.5
Edouard,Mendy,0,0,,,228286,0,0,0,0,0.0,1,1,3.5,3.5,2,3.0,8,0,12.9,147,False,127.8,450,,,50,0,0,0,228286.jpg,0,16,19.2,False,,a,6,8,0.0,15,487294,11277,698657,91462,0.6,3.0,Mendy,1,3.0
Conor,Gallagher,0,0,100,0,232787,0,0,-3,3,25.4,0,3,0.9,0.0,0,0.4,4,0,7.0,148,False,19.6,96,,2022-08-27T20:00:06.444499Z,57,0,0,0,232787.jpg,1,0,0.6,False,,a,6,8,26.0,2,9780,435,118375,2932,0.1,0.4,Gallagher,0,0.5
Billy,Gilmour,0,0,,,243568,0,0,-1,1,0.0,0,3,0.5,0.5,0,0.0,0,0,0.0,149,False,0.0,0,,,44,0,0,0,243568.jpg,0,0,0.6,False,,a,6,8,0.0,0,30455,916,38384,2488,0.0,0.0,Gilmour,0,0.0
Armando,Broja,0,0,100,100,440323,0,0,-1,1,0.3,0,4,1.1,1.1,1,0.6,1,0,5.2,150,False,11.6,40,,2022-08-19T13:30:06.120257Z,54,0,0,0,440323.jpg,0,0,0.7,False,,a,6,8,40.0,3,16865,1329,89189,4337,0.1,0.6,Broja,0,1.0
Ethan,Ampadu,0,0,,,199598,0,0,-1,1,0.0,0,2,0.5,0.5,0,0.0,0,0,0.0,151,False,0.0,0,,,44,0,0,0,199598.jpg,0,0,0.1,False,,a,6,8,0.0,0,1426,82,4331,265,0.0,0.0,Ampadu,0,0.0
Wesley,Fofana,0,0,,,444463,0,0,-1,1,4.4,0,2,0.5,0.5,0,0.0,6,0,6.9,272,False,40.6,180,,,44,0,0,0,444463.jpg,0,0,1.7,False,,a,6,8,23.0,0,77507,22038,85256,4402,0.0,0.0,Fofana,1,0.0
Raheem,Sterling,1,4,,,103955,1,-1,0,0,116.4,1,3,6.9,6.9,8,6.4,7,3,45.3,304,False,138.2,423,,,100,0,0,0,103955.jpg,0,0,8.3,False,,a,6,8,198.0,32,446535,136553,302046,15585,0.6,3.2,Sterling,1,6.4
Kalidou,Koulibaly,0,0,100,100,86129,0,0,0,0,9.5,0,2,2.9,2.9,1,2.4,7,1,17.4,520,False,106.6,337,,2022-08-22T07:00:05.916103Z,55,0,0,0,86129.jpg,1,0,8.4,False,,a,6,8,58.0,12,438371,24280,746268,31905,0.4,2.2,Koulibaly,0,3.0
Harvey,Vale,0,0,,,491785,0,0,0,0,0.0,0,3,1.6,1.6,0,0.0,0,0,0.0,606,False,0.0,0,,,45,0,0,0,491785.jpg,0,0,0.0,False,,a,6,8,0.0,0,139,139,30,30,0.0,0.0,Vale,0,0.0
Vicente,Guaita,0,0,,,40836,0,0,0,0,0.0,0,1,1.6,1.6,2,1.6,9,0,9.9,152,False,99.4,450,,,45,0,0,0,40836.jpg,0,11,1.3,False,,a,7,31,0.0,8,28414,1515,42053,2506,0.4,1.8,Guaita,1,1.6
James,Tomkins,0,0,0,0,49413,-1,1,-1,1,0.0,0,2,0.0,0.0,0,0.0,0,0,0.0,153,False,0.0,0,Calf injury - Unknown return date,2022-08-04T15:00:05.354954Z,39,0,0,0,49413.jpg,0,0,0.6,False,,i,7,31,0.0,0,2601,1362,42932,1764,0.0,0.0,Tomkins,0,0.0
James,McArthur,0,0,0,0,50471,0,0,-1,1,0.0,0,3,0.0,0.0,0,0.0,0,0,0.0,154,False,0.0,0,Groin Injury - Unknown return date,2022-08-01T09:00:04.716469Z,49,0,0,0,50471.jpg,0,0,0.0,False,,i,7,31,0.0,0,230,3,1030,19,0.0,0.0,McArthur,0,0.0
Christian,Benteke,0,0,0,0,54861,0,0,0,0,0.0,0,4,0.0,0.0,0,0.0,0,0,0.0,155,False,0.0,0,Transferred to D.C. United,2022-08-10T10:33:52.348630Z,55,0,0,0,54861.jpg,0,0,0.2,False,,u,7,31,0.0,0,3358,0,71450,1455,0.0,0.0,Benteke,0,0.0
Joel,Ward,0,0,,,55494,0,0,0,0,4.5,0,2,1.0,1.0,2,1.0,7,0,6.3,156,False,58.0,360,,,45,0,0,0,55494.jpg,0,0,0.2,False,,a,7,31,0.0,5,5577,515,8729,606,0.2,1.1,Ward,1,1.2
Nathaniel,Clyne,0,0,,,57328,0,0,0,0,37.0,0,2,1.0,1.0,2,1.0,7,0,7.8,157,False,40.6,343,,,45,0,0,0,57328.jpg,0,0,0.2,False,,a,7,31,0.0,5,8022,621,9202,532,0.2,1.1,Clyne,1,1.2
Luka,Milivojevic,0,0,,,66975,0,0,0,0,2.9,0,3,0.8,0.8,1,0.8,2,0,0.7,158,False,5.0,48,,,45,0,0,0,66975.jpg,0,0,0.5,False,,a,7,31,0.0,4,19055,792,32002,1931,0.2,0.9,Milivojevic,0,1.0
Jordan,Ayew,0,0,,,80146,0,0,0,0,61.5,0,3,1.8,1.8,1,1.8,8,0,16.1,159,False,44.8,308,,,55,0,0,0,80146.jpg,0,0,0.3,False,,a,7,31,54.0,9,16155,823,21829,1739,0.3,1.6,Ayew,0,1.8
Wilfried,Zaha,0,3,100,50,82403,0,0,1,-1,79.2,0,3,5.6,2.8,7,5.6,5,4,43.6,160,False,168.6,351,,2022-08-26T23:30:05.969506Z,71,0,1,0,82403.jpg,0,0,9.9,False,,a,7,31,188.0,28,808179,236364,667092,18752,0.8,3.9,Zaha,1,7.0
Jeffrey,Schlupp,0,0,,,86417,0,0,-1,1,14.7,0,3,2.0,2.0,3,2.0,8,0,12.6,161,False,50.8,418,,,49,0,0,0,86417.jpg,0,0,0.2,False,,a,7,31,60.0,10,6105,745,9618,600,0.4,2.0,Schlupp,1,2.0
Jack,Butland,0,0,25,25,105666,-1,1,-1,1,0.0,0,1,0.0,0.0,0,0.0,0,0,0.0,162,False,0.0,0,Hand injury - 25% chance of playing,2022-08-01T17:30:04.731748Z,44,0,0,0,105666.jpg,0,0,0.1,False,,d,7,31,0.0,0,417,28,4007,189,0.0,0.0,Butland,0,0.0
Will,Hughes,0,0,,,108413,0,0,-1,1,2.3,0,3,0.8,0.8,0,0.8,2,0,5.4,163,False,18.0,46,,,49,0,0,0,108413.jpg,0,0,0.0,False,,a,7,31,34.0,4,589,38,1651,100,0.2,0.8,Hughes,0,1.0
